title	filename	filepath	description	is_display_image	is_landing_image	filetype
CyberpowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-12700F 2.1GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi & Win 11 Home (GXiVR8040A12), Black	81TtgFNJrGL418552.7848438508	sellit-media/81TtgFNJrGL418552.7848438508	null	t	f	image
Acer Aspire 5 A515-56-347N Slim Laptop - 15.6" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode	718hIUhKzeL3009507.5195764354	sellit-media/718hIUhKzeL3009507.5195764354	null	t	f	image
Skytech Azure Gaming PC Desktop – Intel Core i7 12700F 2.1 GHz, NVIDIA RTX 4070 Ti, 1TB NVME SSD, 16GB DDR4 RAM 3200, 750W Gold PSU, 360mm AIO, 11AC Wi-Fi, Windows 11 Home 64-bit	61wYl1RtGOL9231957.982710768	sellit-media/61wYl1RtGOL9231957.982710768	null	t	f	image
Tablet Android 2023 10 Inch Tablet, 2-In-1 Octa-Core Tablet with 128GB + 1TB Expansion + 4GB, Keyboard, 13+8MP Dual Camera, 5G WIFI, HD Touch Screen Tablet with Stylus, Mouse, Bluetooth, GPS, Case	71jTFnk7XiL1121920.5005176326	sellit-media/71jTFnk7XiL1121920.5005176326	null	t	f	image
kinstone 🅺🅸🅽🆂🆃🅽🅴 Tablet 10 Inch Android Tablets,8GB RAM DDR4 256GB ROM 1TB Expand,Gray,6000mah Battery,Octa-Core 2.0Ghz,MTK 8183,WiFi 10.1''IPS HD Touch Screen BT 5.0 Android 12.	71+1lOl1Y1L3856614.2669947776	sellit-media/71+1lOl1Y1L3856614.2669947776	null	t	f	image
10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)	71g9X7W9K3L966393.0748943362	sellit-media/71g9X7W9K3L966393.0748943362	null	t	f	image
Lenovo Tab M8 (4th Gen) - 2023 - Tablet - Long Battery Life - 8" HD - Front 2MP & Rear 5MP Camera - 2GB Memory - 32GB Storage - Android 12 (Go Edition) or Later	81zcUyiNcUL334720.8708901839	sellit-media/81zcUyiNcUL334720.8708901839	null	t	f	image
Android Tablet, 10.1 Inch Android 12 Tablet, 6GB RAM 64GB ROM, 1TB Expand, Android Tablet with 8000mAh Battery, Dual Camera, 5G WiFi, Bluetooth, FHD IPS Touch Screen, GPS, Google GMS Certified	71JqyTBiXrL6184326.879878803	sellit-media/71JqyTBiXrL6184326.879878803	null	t	f	image
10 inch Tablets, Android 11.0 Tablets, 6GB+128GB, 512GB Expand, Quad-Core, Dual Camera, HD Touch Screen, BT, Wi-Fi 6, Google GMS	81sq-a+suJL9319206.402410729	sellit-media/81sq-a+suJL9319206.402410729	null	t	f	image
10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)	415G0bg-hiL3753686.5385182328	sellit-media/415G0bg-hiL3753686.5385182328	null	t	f	image
ASUS G614JV-AS73 ROG Strix G16 (2023) Gaming Laptop, 16â€ 16:10 FHD 165Hz, GeForce RTX 4060, Intel Core i7-13650HX, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G614JV-AS73, Eclipse Gray	71CR6drcruL8264185.217663555	sellit-media/71CR6drcruL8264185.217663555	null	t	f	image
